World Cup,FIFA Young Player,Age
1958 Sweden,Pelé,17
1962 Chile,Flórián Albert,20
1966 England,Franz Beckenbauer,20
1970 Mexico,Teófilo Cubillas,21
1974 West Germany,Władysław Żmuda,20
1978 Argentina,Antonio Cabrini,20
1982 Spain,Manuel Amoros,21
1986 Mexico,Enzo Scifo,20
1990 Italy,Robert Prosinečki,21
1994 United States,Marc Overmars,20
1998 France,Michael Owen,18
2002 South Korea/Japan,Landon Donovan,20
2006 Germany,Lukas Podolski[93],21
2010 South Africa,Thomas Müller[99],20
2014 Brazil,Paul Pogba[100],21
2018 Russia,Kylian Mbappé[101],19
2022 Qatar,Enzo Fernández,21
