Rank,Team,Player,Matches,Tournaments
1,Argentina,Lionel Messi,26,"2006, 2010, 2014, 2018, 2022"
2,Germany,Lothar Matthäus,25,"1982, 1986, 1990, 1994, 1998"
3,Germany,Miroslav Klose,24,"2002, 2006, 2010, 2014"
4,Italy,Paolo Maldini,23,"1990, 1994, 1998, 2002"
5,Portugal,Cristiano Ronaldo,22,"2006, 2010, 2014, 2018, 2022"
6,Argentina,Diego Maradona,21,"1982, 1986, 1990, 1994"
6,West Germany,Uwe Seeler,21,"1958, 1962, 1966, 1970"
6,Poland,Władysław Żmuda,21,"1974, 1978, 1982, 1986"
9,Brazil,Cafu,20,"1994, 1998, 2002, 2006"
9,Germany,Philipp Lahm,20,"2006, 2010, 2014"
9,Poland,Grzegorz Lato,20,"1974, 1978, 1982"
9,France,Hugo Lloris,20,"2010, 2014, 2018, 2022"
9,Argentina,Javier Mascherano,20,"2006, 2010, 2014, 2018"
9,Germany,Bastian Schweinsteiger,20,"2006, 2010, 2014"
15,France,Antoine Griezmann,19,"2014, 2018, 2022"
15,Mexico,Rafael Márquez,19,"2002, 2006, 2010, 2014, 2018"
15,Germany,Per Mertesacker,19,"2006, 2010, 2014"
15,Croatia,Luka Modrić,19,"2006, 2014, 2018, 2022"
15,Germany,Thomas Müller,19,"2010, 2014, 2018, 2022"
15,Germany,Manuel Neuer,19,"2010, 2014, 2018, 2022"
15,West Germany,Wolfgang Overath,19,"1966, 1970, 1974"
15,Brazil,Ronaldo,19,"1998, 2002, 2006"
15,West Germany,Karl-Heinz Rummenigge,19,"1978, 1982, 1986"
15,West Germany,Berti Vogts,19,"1970, 1974, 1978"
25,West Germany,Franz Beckenbauer,18,"1966, 1970, 1974"
25,Germany,Thomas Berthold,18,"1986, 1990, 1994"
25,Italy,Antonio Cabrini,18,"1978, 1982, 1986"
25,Italy,Fabio Cannavaro,18,"1998, 2002, 2006, 2010"
25,Argentina,Ángel Di María,18,"2010, 2014, 2018, 2022"
25,Brazil,Dunga,18,"1990, 1994, 1998"
25,France,Olivier Giroud,18,"2014, 2018, 2022"
25,Argentina,Mario Kempes,18,"1974, 1978, 1982"
25,West Germany,Pierre Littbarski,18,"1982, 1986, 1990"
25,West Germany,Sepp Maier,18,"1970, 1974, 1978"
25,Italy,Gaetano Scirea,18,"1978, 1982, 1986"
25,Brazil,Cláudio Taffarel,18,"1990, 1994, 1998"
25,France,Raphaël Varane,18,"2014, 2018, 2022"
38,France,Fabien Barthez,17,"1998, 2002, 2006"
38,Spain,Sergio Busquets,17,"2010, 2014, 2018, 2022"
38,Brazil,Roberto Carlos,17,"1998, 2002, 2006"
38,Spain,Iker Casillas,17,"2002, 2006, 2010, 2014"
38,Uruguay,Edinson Cavani,17,"2010, 2014, 2018, 2022"
38,France,Thierry Henry,17,"1998, 2002, 2006, 2010"
38,Germany,Jürgen Klinsmann,17,"1990, 1994, 1998"
38,Brazil,Lúcio,17,"2002, 2006, 2010"
38,Croatia,Ivan Perišić,17,"2014, 2018, 2022"
38,Spain,Sergio Ramos,17,"2006, 2010, 2014, 2018"
38,West Germany,Karl-Heinz Schnellinger,17,"1958, 1962, 1966, 1970"
38,Belgium,Enzo Scifo,17,"1986, 1990, 1994, 1998"
38,England,Peter Shilton,17,"1982, 1986, 1990"
38,Netherlands,Wesley Sneijder,17,"2006, 2010, 2014"
38,Netherlands,Robin van Persie,17,"2006, 2010, 2014"
38,Italy,Dino Zoff,17,"1974, 1978, 1982"
54,Italy,Roberto Baggio,16,"1990, 1994, 1998"
54,Italy,Giuseppe Bergomi,16,"1982, 1986, 1990, 1998"
54,Poland,Zbigniew Boniek,16,"1978, 1982, 1986"
54,Germany,Andreas Brehme,16,"1986, 1990, 1994"
54,Belgium,Jan Ceulemans,16,"1982, 1986, 1990"
54,Uruguay,Diego Godín,16,"2010, 2014, 2018, 2022"
54,South Korea,Hong Myung-bo,16,"1990, 1994, 1998, 2002"
54,Brazil,Jairzinho,16,"1966, 1970, 1974"
54,Croatia,Dejan Lovren,16,"2014, 2018, 2022"
54,Uruguay,Fernando Muslera,16,"2010, 2014, 2018"
54,Germany,Mesut Özil,16,"2010, 2014, 2018"
54,Argentina,Oscar Ruggeri,16,"1986, 1990, 1994"
54,Brazil,Gilberto Silva,16,"2002, 2006, 2010"
54,Uruguay,Luis Suárez,16,"2010, 2014, 2018, 2022"
54,France,Lilian Thuram,16,"1998, 2002, 2006"
54,Spain,Andoni Zubizarreta,16,"1986, 1990, 1994, 1998"
70,Brazil,Bebeto,15,"1990, 1994, 1998"
70,France,Maxime Bossis,15,"1978, 1982, 1986"
70,Belgium,Thibaut Courtois,15,"2014, 2018, 2022"
70,Brazil,Didi,15,"1954, 1958, 1962"
70,Croatia,Mateo Kovačić,15,"2014, 2018, 2022"
70,Netherlands,Dirk Kuyt,15,"2006, 2010, 2014"
70,Japan,Yuto Nagatomo,15,"2010, 2014, 2018, 2022"
70,Brazil,Nílton Santos,15,"1954, 1958, 1962"
70,Germany,Lukas Podolski,15,"2006, 2010, 2014"
70,Brazil,Rivellino,15,"1970, 1974, 1978"
70,Netherlands,Arjen Robben,15,"2006, 2010, 2014"
70,West Germany,Hans Schäfer,15,"1954, 1958, 1962"
70,Brazil,Thiago Silva,15,"2014, 2018, 2022"
70,Germany,Rudi Völler,15,"1986, 1990, 1994"
70,Spain,Xavi,15,"2002, 2006, 2010, 2014"
